dim,n,K,rep,n_t,n_c,W_true,V_true,W_hat,W_se,V_hat,V_se,eps_band,n_band,share_pos,V_loo,W_dev,V_dev,n_varV,W_cover,V_cover
3,500,50,49,257,243,0.37796080233885754,0.573486328125,0.4832839761548693,0.0753921406556004,0.50634765625,0.05638032665410446,0.012135590643053081,46,0.50634765625,,0.10532317381601175,-0.067138671875,1.589370616811761,1.0,1.0
3,1000,25,0,530,470,0.37796080233885754,0.573486328125,0.3682452253834188,0.04675174400036579,0.564697265625,0.03154527078087383,0.007682930582516143,21,0.564697265625,,-0.009715576955438732,-0.0087890625,0.9951041086386523,1.0,1.0
3,1000,25,1,475,525,0.37796080233885754,0.573486328125,0.34869294586827543,0.044881924805879284,0.526611328125,0.045831853188080494,0.007842321176156618,28,0.526611328125,,-0.02926785647058211,-0.046875,2.100558766653764,1.0,1.0
3,1000,25,2,495,505,0.37796080233885754,0.573486328125,0.4551457573051254,0.043316176329398104,0.501953125,0.050483163842017155,0.009447930028574414,34,0.501953125,,0.07718495496626787,-0.071533203125,2.548549831499948,1.0,1.0
3,1000,25,3,506,494,0.37796080233885754,0.573486328125,0.368873360928651,0.041757147957822593,0.504638671875,0.06970566347777862,0.008098355072773022,47,0.504638671875,,-0.009087441410206565,-0.06884765625,4.858879520877321,1.0,1.0
3,1000,25,4,488,512,0.37796080233885754,0.573486328125,0.48824239312537365,0.05387832978325801,0.625,0.03435432602739845,0.007985566290237367,22,0.625,,0.11028159078651611,0.051513671875,1.1802197167967865,0.0,1.0
3,1000,25,5,479,521,0.37796080233885754,0.573486328125,0.3305743310016981,0.04254869689093029,0.4541015625,0.03895597976451505,0.007551896755749502,26,0.4541015625,,-0.04738647133715945,-0.119384765625,1.5175683594133063,1.0,0.0
3,1000,25,6,484,516,0.37796080233885754,0.573486328125,0.3992183643472276,0.050551878542434196,0.593505859375,0.04973638636571734,0.007798043334166074,26,0.593505859375,,0.021257562008370035,0.02001953125,2.4737081287199136,1.0,1.0
3,1000,25,7,495,505,0.37796080233885754,0.573486328125,0.4318807499732632,0.048563709599341434,0.5869140625,0.043600719974508234,0.008314724530461951,27,0.5869140625,,0.05391994763440566,0.013427734375,1.9010227822954813,1.0,1.0
3,1000,25,8,500,500,0.37796080233885754,0.573486328125,0.4666214869145049,0.047540695496420524,0.6064453125,0.0666528821440329,0.008089465654636113,37,0.6064453125,,0.08866068457564735,0.032958984375,4.4426066981063395,1.0,1.0
3,1000,25,9,496,504,0.37796080233885754,0.573486328125,0.4735401685802171,0.05435406789477193,0.6650390625,0.04707463605012701,0.008309045902125679,27,0.6650390625,,0.09557936624135954,0.091552734375,2.2160213592519176,1.0,1.0
3,1000,25,10,480,520,0.37796080233885754,0.573486328125,0.3745771022298856,0.04759509381586637,0.60400390625,0.05614549197273837,0.007119398131233253,25,0.60400390625,,-0.003383700108971932,0.030517578125,3.1523162688608286,1.0,1.0
3,1000,25,11,510,490,0.37796080233885754,0.573486328125,0.37758507722379847,0.047979197408148086,0.5849609375,0.0546578398475694,0.0065885580122491,25,0.5849609375,,-0.0003757251150590668,0.011474609375,2.987479456802546,1.0,1.0
3,1000,25,12,504,496,0.37796080233885754,0.573486328125,0.4307885504106561,0.05020788867941733,0.62109375,0.02482114016181985,0.008198309836299265,15,0.62109375,,0.052827748071798575,0.047607421875,0.6160889989327064,1.0,1.0
3,1000,25,13,517,483,0.37796080233885754,0.573486328125,0.43063996466487175,0.051628981566174924,0.63720703125,0.046030132805026096,0.00798621569348096,24,0.63720703125,,0.05267916232601422,0.063720703125,2.11877312604834,1.0,1.0
3,1000,25,14,497,503,0.37796080233885754,0.573486328125,0.41926520384034954,0.05056893340297534,0.61181640625,0.044533280377154275,0.008759156236573928,31,0.61181640625,,0.041304401501492005,0.038330078125,1.9832130611502339,1.0,1.0
3,1000,25,15,481,519,0.37796080233885754,0.573486328125,0.5310044745290489,0.04930310580088281,0.61181640625,0.035955911180593644,0.009010987472473324,25,0.61181640625,,0.15304367219019133,0.038330078125,1.2928275488267391,0.0,1.0
3,1000,25,16,494,506,0.37796080233885754,0.573486328125,0.35383334555655127,0.04652173292800882,0.5966796875,0.047424868685513884,0.008186169769149043,32,0.5966796875,,-0.024127456782306267,0.023193359375,2.2491181698382356,1.0,1.0
3,1000,25,17,504,496,0.37796080233885754,0.573486328125,0.3600718501709941,0.04732389912996832,0.607421875,0.03630451486338369,0.007813091813585554,24,0.607421875,,-0.01788895216786346,0.033935546875,1.318017799465647,1.0,1.0
3,1000,25,18,506,494,0.37796080233885754,0.573486328125,0.4218077190663574,0.04804821956474629,0.57421875,0.04658324827289479,0.008439345866577031,31,0.57421875,,0.04384691672749985,0.000732421875,2.1699990196541554,1.0,1.0
