cell,rep,W_true,V_true,h_rmse,W_hat,V_hat,W_se,eps_band,n_band,V_se,V_hat_dev,V_hat_cover,W_hat_dev,W_hat_cover
F1_cubic,44,0.04687213902070653,0.5,0.3293952340300165,0.13609014883285628,0.483642578125,0.02193730937812459,0.0035085183762678914,58,0.059465782398337004,-0.016357421875,1.0,0.08921800981214975,0.0
F1_cubic,45,0.04687213902070653,0.5,0.3680577340893606,0.1783337496049641,0.568359375,0.024191972112623188,0.0038955764794228447,71,0.06738618420182735,0.068359375,1.0,0.13146161058425757,0.0
F1_cubic,46,0.04687213902070653,0.5,0.29366357280513183,0.1346810715994422,0.4923095703125,0.022566127372886793,0.003406683634422419,53,0.055105241780854027,-0.0076904296875,1.0,0.08780893257873568,0.0
F1_cubic,47,0.04687213902070653,0.5,0.3832856191431452,0.1704431413777247,0.5413818359375,0.023698853427519297,0.003847602157427325,75,0.0661122100655548,0.0413818359375,1.0,0.12357100235701818,0.0
F1_cubic,48,0.04687213902070653,0.5,0.41137171197323835,0.18408405365214298,0.50341796875,0.022857517139388377,0.004427246911284853,65,0.05827536463352602,0.00341796875,1.0,0.13721191463143645,0.0
F1_cubic,49,0.04687213902070653,0.5,0.38931566832031744,0.15162284944988208,0.4849853515625,0.022015370050351396,0.004134083752560655,56,0.04764821623434782,-0.0150146484375,1.0,0.10475071042917555,0.0
F1_cubic,50,0.04687213902070653,0.5,0.30639993803118154,0.11453319477387301,0.4979248046875,0.023068343138352924,0.0031186246768540407,83,0.08167971755249859,-0.0020751953125,1.0,0.06766105575316649,0.0
F1_cubic,51,0.04687213902070653,0.5,0.3628965215386525,0.1972687795617545,0.603271484375,0.02451854746192461,0.003642971561413152,77,0.06673381333431479,0.103271484375,1.0,0.15039664054104798,0.0
F1_cubic,52,0.04687213902070653,0.5,0.3599436270869501,0.1711436097228036,0.533203125,0.02373270443985702,0.003963924891111394,62,0.05556875937490267,0.033203125,1.0,0.12427147070209707,0.0
F1_cubic,53,0.04687213902070653,0.5,0.3930687709015273,0.14441346119619589,0.450439453125,0.020848476748093033,0.004036237303158045,75,0.05834914118013467,-0.049560546875,1.0,0.09754132217548936,0.0
F1_cubic,54,0.04687213902070653,0.5,0.32989491290722267,0.16753100296866658,0.533447265625,0.02290362163062648,0.0036964693817228243,63,0.0565776167380395,0.033447265625,1.0,0.12065886394796005,0.0
F1_cubic,55,0.04687213902070653,0.5,0.3565154545659557,0.13658315799233253,0.5135498046875,0.02249959798296419,0.003649968167358126,60,0.06289367380112548,0.0135498046875,1.0,0.089711018971626,0.0
F1_cubic,56,0.04687213902070653,0.5,0.39488360710609616,0.15991247784976123,0.50390625,0.022199726086188403,0.004024294176690764,72,0.05323685519399919,0.00390625,1.0,0.1130403388290547,0.0
F1_cubic,57,0.04687213902070653,0.5,0.36562141209251725,0.15567761778723116,0.51513671875,0.02284055312653247,0.0037570194868140256,74,0.06199152279513705,0.01513671875,1.0,0.10880547876652463,0.0
F1_cubic,58,0.04687213902070653,0.5,0.3658884704251433,0.15961308544419658,0.5242919921875,0.02319215660997457,0.0037951556506553756,78,0.061502196679407116,0.0242919921875,1.0,0.11274094642349006,0.0
F1_cubic,59,0.04687213902070653,0.5,0.4230173252754581,0.18306671221192264,0.494140625,0.022405421576887085,0.004450569245026918,73,0.05244599460457577,-0.005859375,1.0,0.1361945731912161,0.0
F1_cubic,60,0.04687213902070653,0.5,0.3758938125980755,0.14355135521904444,0.4649658203125,0.022220690872964705,0.0040129105443562916,54,0.05023237407312282,-0.0350341796875,1.0,0.09667921619833791,0.0
F1_cubic,61,0.04687213902070653,0.5,0.43663794885871393,0.15656887427633137,0.446044921875,0.02057218897999069,0.004474471428582377,71,0.053077084778541866,-0.053955078125,1.0,0.10969673525562484,0.0
F1_cubic,62,0.04687213902070653,0.5,0.3995273189277119,0.15185031961812853,0.46826171875,0.02076571422889895,0.0041723377308941515,64,0.05430405954761278,-0.03173828125,1.0,0.104978180597422,0.0
F1_cubic,63,0.04687213902070653,0.5,0.33420872274189,0.14635040902225416,0.530029296875,0.02253562701080786,0.0035831546863893753,82,0.0702901886411817,0.030029296875,1.0,0.09947827000154763,0.0
F1_cubic,64,0.04687213902070653,0.5,0.3849011581455533,0.1676392182190699,0.5159912109375,0.023210887394240397,0.004072776718582471,71,0.05988028340353211,0.0159912109375,1.0,0.12076707919836338,0.0
F1_cubic,65,0.04687213902070653,0.5,0.35313343018376797,0.1355258329613832,0.4725341796875,0.021561327777391757,0.0036180756925658897,68,0.0626039679936887,-0.0274658203125,1.0,0.08865369394067668,0.0
F1_cubic,66,0.04687213902070653,0.5,0.38150803354373053,0.15824388989781046,0.5010986328125,0.02290923157492254,0.003886727922983654,66,0.06320300710988934,0.0010986328125,1.0,0.11137175087710394,0.0
F1_cubic,67,0.04687213902070653,0.5,0.409751965743987,0.16093148045039893,0.4925537109375,0.023294685628729026,0.0040157759134623345,65,0.04875031146393484,-0.0074462890625,1.0,0.1140593414296924,0.0
