dgp,dim,n,K,rep,W_true,V_true,W_ss,V_ss,W_loo,h_rmse,W_hat,V_hat,W_se,eps_band,n_band,V_se,W_hat_dev,W_hat_cover,W_ss_dev,W_ss_cover,W_loo_dev,W_loo_cover,V_hat_dev,V_hat_cover,V_ss_dev,V_ss_cover
dense,10,4000,200,36,0.34094618144048716,0.5839996337890625,0.39882473069356417,0.6814570958511552,0.3508266493203813,0.5882362263603117,0.4321137360580395,0.5908203125,0.026716458350792217,0.008520601418350315,80,0.03651827172358716,0.09116755461755233,0.0,0.057878549253077005,0.0,0.009880467879894161,1.0,0.0068206787109375,1.0,0.09745746206209271,0.0
dense,10,4000,200,37,0.34094618144048716,0.5839996337890625,0.3022405529949046,0.6687522926991873,0.29690815245950797,0.5160300636790272,0.3716700811301762,0.57177734375,0.026208638985704816,0.008106129989953265,46,0.02868588204654815,0.030723899689689027,1.0,-0.03870562844558256,1.0,-0.044038028980979194,1.0,-0.0122222900390625,1.0,0.08475265891012485,0.0
dense,10,4000,200,38,0.34094618144048716,0.5839996337890625,0.3719645360374796,0.5733582147559271,0.354398152061543,0.530610309627812,0.42979818912881484,0.5704345703125,0.02504527550469129,0.008371876241895254,70,0.03676427453898751,0.08885200768832768,0.0,0.031018354596992426,1.0,0.013451970621055853,1.0,-0.0135650634765625,1.0,-0.010641419033135424,1.0
dense,10,4000,200,39,0.34094618144048716,0.5839996337890625,0.4205219440850861,0.6377616410773831,0.4181079186925898,0.6213289558658558,0.47897674585066763,0.604736328125,0.02639156322827956,0.009242709454051673,57,0.028960287437563424,0.13803056441018047,0.0,0.07957576264459892,0.0,0.07716173725210262,0.0,0.0207366943359375,1.0,0.05376200728832059,1.0
dense,10,4000,200,40,0.34094618144048716,0.5839996337890625,0.347944234094217,0.5612047046352482,0.34675024075765637,0.5777498377502064,0.4138804097417172,0.575439453125,0.025229842206718086,0.008968129922813666,70,0.03310924074209503,0.07293422830123003,0.0,0.006998052653729825,1.0,0.005804059317169208,1.0,-0.0085601806640625,1.0,-0.022794929153814314,1.0
dense,10,4000,200,41,0.34094618144048716,0.5839996337890625,0.387480618756356,0.6670372654486076,0.37076268945801,0.5842313846451722,0.4471577986045778,0.6241455078125,0.027764756225206712,0.008709776178158777,61,0.03301990722379681,0.10621161716409067,0.0,0.046534437315868815,1.0,0.029816508017522836,1.0,0.0401458740234375,1.0,0.08303763165954514,0.0
dense,10,4000,200,42,0.34094618144048716,0.5839996337890625,0.35473361983307344,0.6211823666327314,0.35440468398773906,0.5601371412350732,0.4288980182895541,0.5892333984375,0.025896091524355628,0.008831801372898363,55,0.030342562425824372,0.08795183684906693,0.0,0.013787438392586282,1.0,0.013458502547251894,1.0,0.0052337646484375,1.0,0.03718273284366891,1.0
dense,10,4000,200,43,0.34094618144048716,0.5839996337890625,0.3256507865696654,0.6768100756224725,0.30862546375851685,0.5031509818243587,0.3904207184964287,0.593017578125,0.02551172013591316,0.007515311078134377,63,0.03494752627612504,0.049474537055941514,1.0,-0.015295394870821766,1.0,-0.03232071768197031,1.0,0.0090179443359375,1.0,0.09281044183341003,0.0
dense,10,4000,200,44,0.34094618144048716,0.5839996337890625,0.3440340537105888,0.5165395528272199,0.3627078444332051,0.58307154202863,0.4352543013890798,0.59814453125,0.02627063969358023,0.00874737246138841,63,0.029768979821325127,0.09430811994859262,0.0,0.0030878722701016548,1.0,0.021761662992717923,1.0,0.0141448974609375,1.0,-0.06746008096184264,0.0
dense,10,4000,200,45,0.34094618144048716,0.5839996337890625,0.36389943188848595,0.6783622895556585,0.3198417518280953,0.4878264037864203,0.4055819624814918,0.603759765625,0.026945431415264613,0.00795416963060481,73,0.04127871701137325,0.06463578104100465,0.0,0.022953250447998785,1.0,-0.02110442961239184,1.0,0.0197601318359375,1.0,0.09436265576659597,0.0
