variant,tau_scale,rep,S_size,S_hit,h_rmse,W_hat,V_hat,W_se,eps_band,n_band,V_se,W_loo,W_true,V_true,V_hat_dev,V_hat_cover,W_hat_dev,W_hat_cover,W_loo_dev,W_loo_cover
screen_full,1.0,26,10,1.0,0.2730435410823153,0.17832826328088844,0.55615234375,0.024360782201270876,0.003471786577085931,67,0.054225716818279625,0.1346223497401384,0.11927378683678294,0.5697479248046875,-0.0135955810546875,1.0,0.0590544764441055,0.0,0.015348562903355456,1.0
screen_split,1.0,26,10,1.0,0.38016483212888236,0.21544130270161907,0.5345458984375,0.034108140985868916,0.004638116188213126,72,0.07102282598778736,0.15572273415818888,0.11927378683678294,0.5697479248046875,-0.0352020263671875,1.0,0.09616751586483613,0.0,0.03644894732140594,1.0
screen_full,1.0,27,10,1.0,0.27084610490704464,0.1945414064339814,0.561279296875,0.025227357454995242,0.0038580057016634355,60,0.04711566484975531,0.1588086239576718,0.11927378683678294,0.5697479248046875,-0.0084686279296875,1.0,0.07526761959719847,0.0,0.03953483712088887,1.0
screen_split,1.0,27,10,1.0,0.4064885249144816,0.29320433714436545,0.6427001953125,0.04001831335846509,0.004734182404151354,62,0.05840656384528648,0.23454713775320565,0.11927378683678294,0.5697479248046875,0.0729522705078125,1.0,0.1739305503075825,0.0,0.11527335091642271,0.0
screen_full,1.0,28,8,1.0,0.24819288790704552,0.16941523283404347,0.646240234375,0.02699496208616918,0.003091273903457441,62,0.06622314084566958,0.13026857247789525,0.11927378683678294,0.5697479248046875,0.0764923095703125,1.0,0.05014144599726053,1.0,0.010994785641112309,1.0
screen_split,1.0,28,6,1.0,0.35553495289192666,0.18559850700070982,0.5802001953125,0.0354693802778184,0.0040722387844498035,74,0.07667550122408534,0.12180513239988533,0.11927378683678294,0.5697479248046875,0.0104522705078125,1.0,0.06632472016392688,1.0,0.0025313455631023885,1.0
screen_full,1.0,29,8,1.0,0.3171272234647468,0.1364647694179873,0.444580078125,0.020915791927965204,0.003642799184448087,71,0.059130067944759855,0.10365338240761468,0.11927378683678294,0.5697479248046875,-0.1251678466796875,0.0,0.017190982581204356,1.0,-0.015620404429168261,1.0
screen_split,1.0,29,10,1.0,0.34457792280210503,0.1644586419521148,0.511474609375,0.03484124760769895,0.003964145909945866,54,0.05659703730244858,0.09609374404260891,0.11927378683678294,0.5697479248046875,-0.0582733154296875,1.0,0.04518485511533185,1.0,-0.02318004279417403,1.0
screen_full,1.0,30,9,1.0,0.2888462624192765,0.18555775919645634,0.5631103515625,0.024690400288296832,0.003769976608739126,76,0.05505666981849184,0.14874972215755433,0.11927378683678294,0.5697479248046875,-0.0066375732421875,1.0,0.0662839723596734,0.0,0.02947593532077139,1.0
screen_split,1.0,30,9,1.0,0.3529897820214563,0.21094843578471661,0.5672607421875,0.03443667567984703,0.004280198876566139,63,0.06561555641823744,0.15314139292152978,0.11927378683678294,0.5697479248046875,-0.0024871826171875,1.0,0.09167464894793367,0.0,0.03386760608474684,1.0
