cell,rep,truth,plug,loo,se_plug,se_aug,h_rmse,plug_dev,loo_dev,plug_cover,loo_cover_plugse,loo_cover_augse
V_share81,30,0.8134002685546875,0.79443359375,0.94963686478131,0.036643496323915135,0.03696603588740231,0.5804608468860679,-0.0189666748046875,0.13623659622662254,1.0,0.0,0.0
V_share81,31,0.8134002685546875,0.7987060546875,1.0171477408668672,0.030512961065301797,0.03122532566550715,0.5394842398033071,-0.0146942138671875,0.2037474723121797,1.0,0.0,0.0
V_share81,32,0.8134002685546875,0.7723388671875,0.7613732343536009,0.031704375192494284,0.031840181857116075,0.6054471405344374,-0.0410614013671875,-0.052027034201086564,1.0,1.0,1.0
V_share81,33,0.8134002685546875,0.77783203125,0.7276708195132858,0.03345224616744845,0.03366599506438361,0.5987657732549306,-0.0355682373046875,-0.08572944904140167,1.0,0.0,0.0
V_share81,34,0.8134002685546875,0.779541015625,0.9522847649204248,0.0335001647244284,0.033918732669269605,0.5677757032611621,-0.0338592529296875,0.1388844963657373,1.0,0.0,0.0
V_share81,35,0.8134002685546875,0.7352294921875,0.736112270362174,0.036599088169500534,0.036775341481579286,0.6056465539562558,-0.0781707763671875,-0.07728799819251353,0.0,0.0,0.0
V_share81,36,0.8134002685546875,0.76513671875,0.7395527321399376,0.03284519111245168,0.03298091467716413,0.6307542285780817,-0.0482635498046875,-0.07384753641474995,1.0,0.0,0.0
V_share81,37,0.8134002685546875,0.7706298828125,0.7936210395098018,0.030804502320434576,0.03099522144384163,0.6056367071801125,-0.0427703857421875,-0.019779229044885716,1.0,1.0,1.0
V_share81,38,0.8134002685546875,0.7630615234375,0.7787405071430977,0.034456803127057616,0.0346066344991282,0.5977858092996838,-0.0503387451171875,-0.03465976141158977,1.0,1.0,1.0
V_share81,39,0.8134002685546875,0.7939453125,0.8629901450799798,0.025803461811761873,0.026089672224994174,0.5965004766001449,-0.0194549560546875,0.04958987652529234,1.0,1.0,1.0
V_share81,40,0.8134002685546875,0.7799072265625,0.9065108482962785,0.03353861901900509,0.03382724574538212,0.6178731185514625,-0.0334930419921875,0.09311057974159098,1.0,0.0,0.0
V_share81,41,0.8134002685546875,0.76416015625,0.8273097272507963,0.037005072005782354,0.03718139784533555,0.5900482376109811,-0.0492401123046875,0.013909458696108823,1.0,1.0,1.0
V_share81,42,0.8134002685546875,0.7752685546875,0.8739346303483071,0.031306499001637914,0.03156484162991869,0.5701127967874152,-0.0381317138671875,0.060534361793619595,1.0,1.0,1.0
V_share81,43,0.8134002685546875,0.7867431640625,0.8968402756216307,0.034559664457262246,0.034811909589810355,0.6016102338590558,-0.0266571044921875,0.08344000706694321,1.0,0.0,0.0
V_share81,44,0.8134002685546875,0.74658203125,0.8312886567449753,0.0302851948502674,0.030482030208815077,0.6114994652889401,-0.0668182373046875,0.01788838819028782,0.0,1.0,1.0
V_share81,45,0.8134002685546875,0.775390625,0.656363092027846,0.0309478995300623,0.031224149833842134,0.6107821304286684,-0.0380096435546875,-0.15703717652684146,1.0,0.0,0.0
V_share81,46,0.8134002685546875,0.75634765625,0.5690138534215037,0.029811067667144604,0.030261455270833296,0.6217599975402895,-0.0570526123046875,-0.24438641513318382,1.0,0.0,0.0
V_share81,47,0.8134002685546875,0.754638671875,0.7280380210632004,0.027359251011263058,0.02751206342592325,0.6179185205978299,-0.0587615966796875,-0.08536224749148713,0.0,0.0,0.0
V_share81,48,0.8134002685546875,0.759033203125,0.8460668694888371,0.03944157435038784,0.03962848163499123,0.6163053325127779,-0.0543670654296875,0.03266660093414964,1.0,1.0,1.0
V_share81,49,0.8134002685546875,0.762451171875,0.7948757951163141,0.03061329758196444,0.030846014986250708,0.6420797925796052,-0.0509490966796875,-0.01852447343837338,1.0,1.0,1.0
V_share81,50,0.8134002685546875,0.7568359375,0.7014438363336261,0.030109179354293247,0.030322166283857033,0.6094825474708364,-0.0565643310546875,-0.11195643222106144,1.0,0.0,0.0
V_share81,51,0.8134002685546875,0.781494140625,0.7617551566531676,0.0325485531231632,0.03272034182627728,0.6172788024764778,-0.0319061279296875,-0.05164511190151988,1.0,1.0,1.0
V_share81,52,0.8134002685546875,0.74267578125,0.9033567388420068,0.03680142983542691,0.03707662415771309,0.591747658868044,-0.0707244873046875,0.08995647028731935,1.0,0.0,0.0
V_share81,53,0.8134002685546875,0.7470703125,0.6444763929588756,0.026966993707228305,0.027271219221551377,0.6387613038337191,-0.0663299560546875,-0.1689238755958119,0.0,0.0,0.0
V_share81,54,0.8134002685546875,0.7774658203125,0.867138357365115,0.03650546107151797,0.03669182078861809,0.5689126124346886,-0.0359344482421875,0.05373808881042752,1.0,1.0,1.0
V_share81,55,0.8134002685546875,0.81494140625,0.9030215698595037,0.02918527407427442,0.029486285710896013,0.5425957508761946,0.0015411376953125,0.08962130130481616,1.0,0.0,0.0
V_share81,56,0.8134002685546875,0.76953125,0.5500009446571645,0.026006961831876032,0.02671714066878191,0.6084308389093376,-0.0438690185546875,-0.26339932389752296,1.0,0.0,0.0
V_share81,57,0.8134002685546875,0.7979736328125,0.9127374366808205,0.03596314885852996,0.03623887941744715,0.5688802652602086,-0.0154266357421875,0.09933716812613302,1.0,0.0,0.0
V_share81,58,0.8134002685546875,0.7823486328125,0.5528995217828275,0.03737619419200271,0.03794896910770898,0.5687971118445828,-0.0310516357421875,-0.26050074677185997,1.0,0.0,0.0
