label,n,K,dim,W_hat,W_se,V_hat,V_se,h_rmse,eps_band,n_band,rep,W_true,V_true,dgp,feat_q,gamma,W_dev,V_dev,n_varV,W_cover,V_cover
A_dense_d10_n1000_K50,1000,50,10,0.31545892251680696,0.04898346907358384,0.4814453125,0.056361030914925545,0.6975646642992186,0.008167591772937964,69,17,0.34094618144048716,0.5839996337890625,dense,-1,3.0,-0.0254872589236802,-0.1025543212890625,3.176565805793193,1.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.40211920513567057,0.052801793341626005,0.5526123046875,0.05427669970193427,0.5671956986307348,0.008490069285047135,68,18,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.061173023695183404,-0.0313873291015625,2.9459601305339516,1.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.42437018211804234,0.0520989828572916,0.5977783203125,0.04227858683391778,0.644499355054839,0.008934596225415288,62,19,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.08342400067755518,0.0137786865234375,1.787478904673126,1.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.438010648301357,0.05492487312460824,0.58056640625,0.047143163587320056,0.7040618215261196,0.00908323608010112,64,20,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.09706446686086984,-0.0034332275390625,2.2224778730208197,1.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.2920959510768557,0.04559642683931275,0.5263671875,0.05779466193858971,0.5155927969887475,0.006854159376287725,64,21,0.34094618144048716,0.5839996337890625,dense,-1,3.0,-0.04885023036363145,-0.0576324462890625,3.34022294859587,1.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.39852091529334066,0.05387054232809318,0.5753173828125,0.045712003034294915,0.6762691525529896,0.008338824874219256,58,22,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.0575747338528535,-0.0086822509765625,2.0895872214073874,1.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.34822063916221263,0.04831456790752755,0.534912109375,0.04385016802406607,0.6999645716452852,0.009063372620252447,59,23,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.007274457721725469,-0.0490875244140625,1.9228372357388264,1.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.36555904062889705,0.05010634825679284,0.5244140625,0.050121776562503176,0.510013472692374,0.00837262195608678,71,24,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.024612859188409886,-0.0595855712890625,2.5121924857814926,1.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.48024445372196745,0.05497060392523974,0.589599609375,0.0530224005204519,0.5868975922118949,0.008981261541983138,73,25,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.13929827228148028,0.0055999755859375,2.811374956951218,0.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.3051657939464103,0.04905016037341386,0.509521484375,0.05096266439049778,0.5840390082082816,0.00733823985465622,57,26,0.34094618144048716,0.5839996337890625,dense,-1,3.0,-0.03578038749407686,-0.0744781494140625,2.59719316177851,1.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.49129261986010175,0.053820465556023475,0.61376953125,0.04763046061308864,0.595222543478224,0.008552754577245707,60,27,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.1503464384196146,0.0297698974609375,2.2686607782149886,0.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.4696586904613669,0.05905331612217988,0.577392578125,0.04664610002878971,0.573844330130415,0.009081601929863674,63,28,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.12871250902087972,-0.0066070556640625,2.175858647895855,0.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.37048716654061564,0.049557198539119024,0.53173828125,0.04860077634306996,0.6076528777551378,0.009258472633830098,64,29,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.02954098510012848,-0.0522613525390625,2.362035461149109,1.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.5652543777402994,0.0610597304729272,0.6259765625,0.03472257797522199,0.7173937344400421,0.009932911407055071,55,30,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.22430819629981225,0.0419769287109375,1.2056574212453712,0.0,1.0
