p,n,K,rep,W_true,V_true,h_rmse,W_hat,V_hat,W_se,eps_band,n_band,V_se,V_loo,W_loo,V_hat_dev,V_hat_cover,V_loo_dev,V_loo_cover,W_hat_dev,W_hat_cover,W_loo_dev,W_loo_cover,V_sqerr_plug,V_sqerr_loo
1.6,1000,80,62,0.22573558700716836,0.5,0.24668348464981324,0.29068769614564166,0.5198974609375,0.04445860003678596,0.005498223679877028,62,0.05987074712419149,0.6323732406836943,0.25272945375406725,0.0198974609375,1.0,0.13237324068369427,0.0,0.0649521091384733,1.0,0.02699386674689888,1.0,0.0003959089517593384,0.01752267484910325
1.6,1000,80,63,0.22573558700716836,0.5,0.35665611413047155,0.23297926688934636,0.4954833984375,0.04279463265315679,0.0054521708872204465,88,0.1270143662536809,0.24457984666047644,0.17262007438072297,-0.0045166015625,1.0,-0.25542015333952356,0.0,0.007243679882178,1.0,-0.0531155126264454,1.0,2.039968967437744e-05,0.06523945473198572
1.6,1000,80,64,0.22573558700716836,0.5,0.3615473336071149,0.23733831535630434,0.4976806640625,0.041550952681902446,0.004910199903463243,77,0.09507355332662207,0.4884361976086458,0.19158611544499837,-0.0023193359375,1.0,-0.011563802391354183,1.0,0.011602728349135977,1.0,-0.03414947156216999,1.0,5.379319190979004e-06,0.00013372152574628874
1.6,1000,80,65,0.22573558700716836,0.5,0.2980091866474267,0.20566698315376386,0.518798828125,0.040608357042312034,0.004474875160326123,104,0.1747045586045494,0.6327301860069688,0.14504964285450536,0.018798828125,1.0,0.13273018600696884,1.0,-0.020068603853404504,1.0,-0.080685944152663,0.0,0.000353395938873291,0.017617302277444548
1.6,1000,80,66,0.22573558700716836,0.5,0.31336774134740475,0.2512559735897605,0.427490234375,0.04331692302457108,0.005380553039396123,65,0.07980183022609796,0.47784826306112427,0.21144950677221153,-0.072509765625,1.0,-0.022151736938875732,1.0,0.02552038658259212,1.0,-0.014286080234956838,1.0,0.005257666110992432,0.0004906994494091516
1.6,1000,80,67,0.22573558700716836,0.5,0.2790453745463962,0.27101040992999054,0.5531005859375,0.04687716232230688,0.005052220978123571,42,0.04969759797110644,0.506289679390466,0.23249361124693416,0.0531005859375,1.0,0.006289679390465985,1.0,0.04527482292282217,1.0,0.006758024239765792,1.0,0.0028196722269058228,3.956006683485257e-05
1.6,1000,80,68,0.22573558700716836,0.5,0.3306291576047652,0.2069570902747126,0.446533203125,0.04362128718626895,0.0052700863376772804,70,0.07659413537694586,0.4682570956893557,0.16264558645227167,-0.053466796875,1.0,-0.031742904310644304,1.0,-0.01877849673245577,1.0,-0.06309000055489669,1.0,0.0028586983680725098,0.0010076119740747207
1.6,1000,80,69,0.22573558700716836,0.5,0.29375293281978854,0.21808741003117185,0.4990234375,0.044098007170746176,0.00526389655957917,66,0.08802091670383207,0.4267908460759061,0.17674874067434446,-0.0009765625,1.0,-0.07320915392409388,1.0,-0.007648176975996512,1.0,-0.04898684633282391,1.0,9.5367431640625e-07,0.005359580218281671
1.6,1000,80,70,0.22573558700716836,0.5,0.2984791216357859,0.25343480102579413,0.4000244140625,0.03736596681178783,0.005971071378324625,52,0.050862592652812254,0.24470901293388778,0.21916906240440934,-0.0999755859375,0.0,-0.2552909870661122,0.0,0.027699214018625767,1.0,-0.006566524602759027,1.0,0.009995117783546448,0.06517348807718987
1.6,1000,80,71,0.22573558700716836,0.5,0.36965733864853156,0.24275714095821854,0.4931640625,0.04180177950309376,0.005436059185359343,87,0.09874507420054945,0.23187268822064228,0.20030926999137466,-0.0068359375,1.0,-0.2681273117793577,0.0,0.017021553951050178,1.0,-0.025426317015793704,1.0,4.673004150390625e-05,0.07189225532202491
