expansion,K,p,spec,n,rep,W_hat,W_true,rfg_type,activation,n_features,alpha
tan2,3,3,tan2_K3_p3,1500,189,0.9318580365987625,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,190,1.0815880330783285,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,191,1.169569676013473,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,192,0.9567525700754433,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,193,0.9485342417241627,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,194,1.0275298158871062,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,195,0.9094447784309,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,196,0.9649143754430678,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,197,1.0748143746757908,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,198,1.0715723213917987,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,199,1.0868763919747315,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,200,0.9412833234180711,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,201,0.9965954534042466,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,202,0.9946054444717669,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,203,0.8985448564255388,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,204,1.0506706856383534,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,205,1.008785822278497,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,206,0.9917799550447975,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,207,0.9280529464473957,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,208,0.98811300392149,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,209,1.0169655366701398,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,210,1.0392723051091253,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,211,1.0156488542307134,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,212,1.0312938989802998,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,213,0.9851386413881611,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,214,1.0753344127722375,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,215,0.9944141329129703,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,216,0.9877869534389091,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,217,1.130338462681875,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,218,0.8701161211786543,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,219,0.9637507603635878,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,220,0.9627355363488049,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,221,0.9957824856976145,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,222,1.240869002831558,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,223,1.0533346539494794,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,224,1.0649825529735604,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,225,0.998946523448124,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,226,0.8659329929916366,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,227,0.9967006505672995,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,228,0.856862862618107,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,229,1.1156744090246948,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,230,1.0479241417373553,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,231,0.9541910710459529,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,232,0.9779438064693299,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,233,0.9087754400015877,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,234,0.9351892352204048,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,235,1.079348529049655,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,236,0.9909465849286627,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,237,1.0009436966048686,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,238,1.0880298722008743,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,239,0.9783434496433678,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,240,1.0307178858444626,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,241,1.0440769541618038,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,242,1.0592458860498541,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,243,0.9214992002602698,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,244,1.0194061638845178,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,245,0.9469917588771737,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,246,0.8922000331297484,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,247,0.9494908160665276,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,248,1.0399361449381197,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,249,1.0392579129878325,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,250,0.8684742399909178,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,251,1.0002565296062507,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,252,0.8615886864157107,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,253,0.9786696530169025,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,254,1.0440340185923564,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,255,0.8008126967654261,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,256,1.1129351418899303,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,257,1.0369947964312716,1.0,iid_sphere,exp,100,0.001
